,chip,code,C,R,F,label,count,probability,date,date_index,dataset,concentration
0,0,0,0,0,0,¬C¬R¬F,2.0,0.3333333333333333,20230404,2,3,65
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20230404,2,3,65
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20230404,2,3,65
7,0,7,1,1,1,CRF,0.0,0.0,20230404,2,3,65
3,0,3,0,1,1,¬CRF,0.0,0.0,20230404,2,3,65
6,0,6,1,1,0,CR¬F,0.0,0.0,20230404,2,3,65
10,1,2,0,1,0,¬CR¬F,0.0,0.0,20230404,2,3,70
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20230404,2,3,70
11,1,3,0,1,1,¬CRF,0.0,0.0,20230404,2,3,70
12,1,4,1,0,0,C¬R¬F,1.0,0.25,20230404,2,3,70
13,1,5,1,0,1,C¬RF,0.0,0.0,20230404,2,3,70
14,1,6,1,1,0,CR¬F,0.0,0.0,20230404,2,3,70
15,1,7,1,1,1,CRF,0.0,0.0,20230404,2,3,70
8,1,0,0,0,0,¬C¬R¬F,3.0,0.75,20230404,2,3,70
22,2,6,1,1,0,CR¬F,0.0,0.0,20230404,2,3,75
23,2,7,1,1,1,CRF,0.0,0.0,20230404,2,3,75
21,2,5,1,0,1,C¬RF,0.0,0.0,20230404,2,3,75
20,2,4,1,0,0,C¬R¬F,2.0,1.0,20230404,2,3,75
19,2,3,0,1,1,¬CRF,0.0,0.0,20230404,2,3,75
18,2,2,0,1,0,¬CR¬F,0.0,0.0,20230404,2,3,75
17,2,1,0,0,1,¬C¬RF,0.0,0.0,20230404,2,3,75
16,2,0,0,0,0,¬C¬R¬F,0.0,0.0,20230404,2,3,75
28,3,4,1,0,0,C¬R¬F,5.0,1.0,20230404,2,3,80
27,3,3,0,1,1,¬CRF,0.0,0.0,20230404,2,3,80
39,4,7,1,1,1,CRF,0.0,0.0,20230315,1,0,80
38,4,6,1,1,0,CR¬F,0.0,0.0,20230315,1,0,80
37,4,5,1,0,1,C¬RF,0.0,0.0,20230315,1,0,80
36,4,4,1,0,0,C¬R¬F,54.0,0.54,20230315,1,0,80
35,4,3,0,1,1,¬CRF,0.0,0.0,20230315,1,0,80
34,4,2,0,1,0,¬CR¬F,1.0,0.01,20230315,1,0,80
24,3,0,0,0,0,¬C¬R¬F,0.0,0.0,20230404,2,3,80
32,4,0,0,0,0,¬C¬R¬F,45.0,0.45,20230315,1,0,80
25,3,1,0,0,1,¬C¬RF,0.0,0.0,20230404,2,3,80
26,3,2,0,1,0,¬CR¬F,0.0,0.0,20230404,2,3,80
31,3,7,1,1,1,CRF,0.0,0.0,20230404,2,3,80
30,3,6,1,1,0,CR¬F,0.0,0.0,20230404,2,3,80
29,3,5,1,0,1,C¬RF,0.0,0.0,20230404,2,3,80
33,4,1,0,0,1,¬C¬RF,0.0,0.0,20230315,1,0,80
40,5,0,0,0,0,¬C¬R¬F,15.0,0.625,20230315,1,0,100
41,5,1,0,0,1,¬C¬RF,1.0,0.0416666666666666,20230315,1,0,100
44,5,4,1,0,0,C¬R¬F,8.0,0.3333333333333333,20230315,1,0,100
43,5,3,0,1,1,¬CRF,0.0,0.0,20230315,1,0,100
32,4,0,0,0,0,¬C¬R¬F,,,20230404,2,3,100
33,4,1,0,0,1,¬C¬RF,,,20230404,2,3,100
34,4,2,0,1,0,¬CR¬F,,,20230404,2,3,100
35,4,3,0,1,1,¬CRF,,,20230404,2,3,100
37,4,5,1,0,1,C¬RF,,,20230404,2,3,100
38,4,6,1,1,0,CR¬F,,,20230404,2,3,100
39,4,7,1,1,1,CRF,,,20230404,2,3,100
42,5,2,0,1,0,¬CR¬F,0.0,0.0,20230315,1,0,100
36,4,4,1,0,0,C¬R¬F,,,20230404,2,3,100
47,5,7,1,1,1,CRF,0.0,0.0,20230315,1,0,100
46,5,6,1,1,0,CR¬F,0.0,0.0,20230315,1,0,100
45,5,5,1,0,1,C¬RF,0.0,0.0,20230315,1,0,100
42,5,2,0,1,0,¬CR¬F,,,20230404,2,3,130
43,5,3,0,1,1,¬CRF,,,20230404,2,3,130
44,5,4,1,0,0,C¬R¬F,,,20230404,2,3,130
45,5,5,1,0,1,C¬RF,,,20230404,2,3,130
41,5,1,0,0,1,¬C¬RF,,,20230404,2,3,130
40,5,0,0,0,0,¬C¬R¬F,,,20230404,2,3,130
47,5,7,1,1,1,CRF,,,20230404,2,3,130
6,0,6,1,1,0,CR¬F,,,20230315,2,1,130
7,0,7,1,1,1,CRF,,,20230315,2,1,130
5,0,5,1,0,1,C¬RF,,,20230315,2,1,130
4,0,4,1,0,0,C¬R¬F,,,20230315,2,1,130
46,5,6,1,1,0,CR¬F,,,20230404,2,3,130
2,0,2,0,1,0,¬CR¬F,,,20230315,2,1,130
1,0,1,0,0,1,¬C¬RF,,,20230315,2,1,130
0,0,0,0,0,0,¬C¬R¬F,,,20230315,2,1,130
3,0,3,0,1,1,¬CRF,,,20230315,2,1,130
15,1,7,1,1,1,CRF,,,20230315,2,1,160
13,1,5,1,0,1,C¬RF,,,20230315,2,1,160
14,1,6,1,1,0,CR¬F,,,20230315,2,1,160
11,1,3,0,1,1,¬CRF,,,20230315,2,1,160
10,1,2,0,1,0,¬CR¬F,,,20230315,2,1,160
9,1,1,0,0,1,¬C¬RF,,,20230315,2,1,160
8,1,0,0,0,0,¬C¬R¬F,,,20230315,2,1,160
12,1,4,1,0,0,C¬R¬F,,,20230315,2,1,160
16,2,0,0,0,0,¬C¬R¬F,,,20230315,2,1,200
17,2,1,0,0,1,¬C¬RF,,,20230315,2,1,200
18,2,2,0,1,0,¬CR¬F,,,20230315,2,1,200
19,2,3,0,1,1,¬CRF,,,20230315,2,1,200
20,2,4,1,0,0,C¬R¬F,,,20230315,2,1,200
21,2,5,1,0,1,C¬RF,,,20230315,2,1,200
22,2,6,1,1,0,CR¬F,,,20230315,2,1,200
23,2,7,1,1,1,CRF,,,20230315,2,1,200
24,3,0,0,0,0,¬C¬R¬F,,,20230315,2,1,250
31,3,7,1,1,1,CRF,,,20230315,2,1,250
30,3,6,1,1,0,CR¬F,,,20230315,2,1,250
26,3,2,0,1,0,¬CR¬F,,,20230315,2,1,250
28,3,4,1,0,0,C¬R¬F,,,20230315,2,1,250
27,3,3,0,1,1,¬CRF,,,20230315,2,1,250
25,3,1,0,0,1,¬C¬RF,,,20230315,2,1,250
29,3,5,1,0,1,C¬RF,,,20230315,2,1,250
32,4,0,0,0,0,¬C¬R¬F,,,20230315,2,1,300
34,4,2,0,1,0,¬CR¬F,,,20230315,2,1,300
35,4,3,0,1,1,¬CRF,,,20230315,2,1,300
36,4,4,1,0,0,C¬R¬F,,,20230315,2,1,300
37,4,5,1,0,1,C¬RF,,,20230315,2,1,300
38,4,6,1,1,0,CR¬F,,,20230315,2,1,300
39,4,7,1,1,1,CRF,,,20230315,2,1,300
33,4,1,0,0,1,¬C¬RF,,,20230315,2,1,300
46,5,6,1,1,0,CR¬F,,,20230315,2,1,350
41,5,1,0,0,1,¬C¬RF,,,20230315,2,1,350
42,5,2,0,1,0,¬CR¬F,,,20230315,2,1,350
43,5,3,0,1,1,¬CRF,,,20230315,2,1,350
44,5,4,1,0,0,C¬R¬F,,,20230315,2,1,350
45,5,5,1,0,1,C¬RF,,,20230315,2,1,350
40,5,0,0,0,0,¬C¬R¬F,,,20230315,2,1,350
47,5,7,1,1,1,CRF,,,20230315,2,1,350
