,chip,code,C,R,F,label,count,probability,date,date_index,dataset,concentration
29,3,5,1,0,1,C¬RF,0.0,0.0,20230110,1,2,0.6
27,3,3,0,1,1,¬CRF,0.0,0.0,20230110,1,2,0.6
28,3,4,1,0,0,C¬R¬F,129.0,0.7914110429447853,20230110,1,2,0.6
32,4,0,0,0,0,¬C¬R¬F,33.0,0.1885714285714285,20230110,1,2,0.65
33,4,1,0,0,1,¬C¬RF,0.0,0.0,20230110,1,2,0.65
37,4,5,1,0,1,C¬RF,0.0,0.0,20230110,1,2,0.65
38,4,6,1,1,0,CR¬F,0.0,0.0,20230110,1,2,0.65
39,4,7,1,1,1,CRF,0.0,0.0,20230110,1,2,0.65
36,4,4,1,0,0,C¬R¬F,138.0,0.7885714285714286,20230110,1,2,0.65
34,4,2,0,1,0,¬CR¬F,4.0,0.0228571428571428,20230110,1,2,0.65
35,4,3,0,1,1,¬CRF,0.0,0.0,20230110,1,2,0.65
47,5,7,1,1,1,CRF,1.0,0.0043668122270742,20230110,1,2,0.7
44,5,4,1,0,0,C¬R¬F,175.0,0.7641921397379913,20230110,1,2,0.7
45,5,5,1,0,1,C¬RF,0.0,0.0,20230110,1,2,0.7
46,5,6,1,1,0,CR¬F,0.0,0.0,20230110,1,2,0.7
43,5,3,0,1,1,¬CRF,0.0,0.0,20230110,1,2,0.7
41,5,1,0,0,1,¬C¬RF,0.0,0.0,20230110,1,2,0.7
40,5,0,0,0,0,¬C¬R¬F,33.0,0.1441048034934497,20230110,1,2,0.7
42,5,2,0,1,0,¬CR¬F,20.0,0.0873362445414847,20230110,1,2,0.7
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20230110,2,3,0.75
24,3,0,0,0,0,¬C¬R¬F,15.0,0.46875,20221101,2,1,0.75
25,3,1,0,0,1,¬C¬RF,0.0,0.0,20221101,2,1,0.75
26,3,2,0,1,0,¬CR¬F,4.0,0.125,20221101,2,1,0.75
24,3,0,0,0,0,¬C¬R¬F,1.0,0.25,20221101,1,0,0.75
25,3,1,0,0,1,¬C¬RF,0.0,0.0,20221101,1,0,0.75
26,3,2,0,1,0,¬CR¬F,0.0,0.0,20221101,1,0,0.75
27,3,3,0,1,1,¬CRF,0.0,0.0,20221101,1,0,0.75
28,3,4,1,0,0,C¬R¬F,3.0,0.75,20221101,1,0,0.75
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20230110,2,3,0.75
29,3,5,1,0,1,C¬RF,0.0,0.0,20221101,1,0,0.75
31,3,7,1,1,1,CRF,0.0,0.0,20221101,1,0,0.75
27,3,3,0,1,1,¬CRF,0.0,0.0,20221101,2,1,0.75
28,3,4,1,0,0,C¬R¬F,9.0,0.28125,20221101,2,1,0.75
29,3,5,1,0,1,C¬RF,0.0,0.0,20221101,2,1,0.75
30,3,6,1,1,0,CR¬F,4.0,0.125,20221101,2,1,0.75
31,3,7,1,1,1,CRF,0.0,0.0,20221101,2,1,0.75
7,0,7,1,1,1,CRF,0.0,0.0,20230110,2,3,0.75
6,0,6,1,1,0,CR¬F,0.0,0.0,20230110,2,3,0.75
5,0,5,1,0,1,C¬RF,0.0,0.0,20230110,2,3,0.75
4,0,4,1,0,0,C¬R¬F,4.0,1.0,20230110,2,3,0.75
3,0,3,0,1,1,¬CRF,0.0,0.0,20230110,2,3,0.75
30,3,6,1,1,0,CR¬F,0.0,0.0,20221101,1,0,0.75
0,0,0,0,0,0,¬C¬R¬F,0.0,0.0,20230110,2,3,0.75
13,1,5,1,0,1,C¬RF,0.0,0.0,20230110,2,3,0.8
10,1,2,0,1,0,¬CR¬F,6.0,0.3,20230110,2,3,0.8
12,1,4,1,0,0,C¬R¬F,12.0,0.6,20230110,2,3,0.8
14,1,6,1,1,0,CR¬F,0.0,0.0,20230110,2,3,0.8
8,1,0,0,0,0,¬C¬R¬F,2.0,0.1,20230110,2,3,0.8
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20230110,2,3,0.8
15,1,7,1,1,1,CRF,0.0,0.0,20230110,2,3,0.8
11,1,3,0,1,1,¬CRF,0.0,0.0,20230110,2,3,0.8
23,2,7,1,1,1,CRF,0.0,0.0,20230110,2,3,0.85
22,2,6,1,1,0,CR¬F,0.0,0.0,20230110,2,3,0.85
21,2,5,1,0,1,C¬RF,0.0,0.0,20230110,2,3,0.85
