,chip,date,date_index,concentration,dataset,total_label_positive,prob_pos_label_positive,total_label_rods,prob_pos_label_rods,total_label_filaments,prob_pos_label_filaments,total_label_planktonic,prob_pos_label_planktonic,total_label_clumped,prob_pos_label_clumped
63,4.0,20220628,1,6.0,2,489.0,0.8629856850715747,489.0,0.1090047393364927,489.0,0.0047393364928911,489.0,1.0,489.0,0.0047393364928911
64,3.0,20221012,1,6.0,4,480.0,0.0,480.0,,480.0,,480.0,,480.0,
65,5.0,20221013,1,6.0,5,466.0,0.0,466.0,,466.0,,466.0,,466.0,
66,5.0,20221031,1,6.0,6,461.0,0.0,461.0,,461.0,,461.0,,461.0,
67,5.0,20221031,2,6.0,7,476.0,0.0084033613445377,476.0,1.0,476.0,0.25,476.0,1.0,476.0,0.0
68,5.0,20230111,2,6.0,10,442.0,0.6742081447963801,442.0,0.8758389261744965,442.0,0.8892617449664428,442.0,1.0,442.0,0.0536912751677852
69,5.0,20230313,2,6.0,13,474.0,0.0126582278481012,474.0,0.8333333333333348,474.0,0.3333333333333304,474.0,1.0,474.0,0.3333333333333304
70,5.0,20220628,1,7.0,2,458.0,0.7183406113537119,458.0,0.2340425531914893,458.0,0.0243161094224924,458.0,1.0,458.0,0.0060790273556231
71,4.0,20221012,1,7.0,4,478.0,0.0,478.0,,478.0,,478.0,,478.0,
72,3.0,20220524,1,8.0,0,461.0,0.1258134490238611,461.0,0.5172413793103436,461.0,0.896551724137931,461.0,1.0,461.0,0.0172413793103454
73,1.0,20220602,1,8.0,1,491.0,0.0,491.0,,491.0,,491.0,,491.0,
74,0.0,20220628,2,8.0,3,469.0,0.767590618336887,469.0,0.5222222222222223,469.0,0.025,469.0,1.0,469.0,0.0027777777777778
75,5.0,20221012,1,8.0,4,464.0,0.0,464.0,,464.0,,464.0,,464.0,
76,1.0,20220628,2,9.0,3,476.0,0.5945378151260504,476.0,0.8445229681978799,476.0,0.0671378091872791,476.0,1.0,476.0,0.0106007067137806
77,2.0,20220628,2,10.0,3,472.0,0.3283898305084746,472.0,0.9483870967741932,472.0,0.2193548387096775,472.0,1.0,472.0,0.0
78,4.0,20220524,1,12.0,0,470.0,0.1446808510638297,470.0,0.9558823529411768,470.0,0.0588235294117647,470.0,1.0,470.0,0.0294117647058823
79,3.0,20220628,2,12.0,3,452.0,0.2278761061946902,452.0,0.9805825242718448,452.0,0.3786407766990295,452.0,1.0,452.0,0.0
80,4.0,20220628,2,14.0,3,465.0,0.0301075268817203,465.0,1.0,465.0,0.7142857142857153,465.0,1.0,465.0,0.071428571428573
81,0.0,20220602,1,16.0,1,484.0,0.0,484.0,,484.0,,484.0,,484.0,
82,5.0,20220628,2,20.0,3,473.0,0.0,473.0,,473.0,,473.0,,473.0,
83,5.0,20220524,1,50.0,0,466.0,0.0,466.0,,466.0,,466.0,,466.0,
