,chip,date,date_index,concentration,dataset,prob_neg_label_positive,total_label_positive,prob_pos_label_positive,prob_neg_label_rods,total_label_rods,prob_pos_label_rods,prob_neg_label_filaments,total_label_filaments,prob_pos_label_filaments,prob_neg_label_planktonic,total_label_planktonic,prob_pos_label_planktonic,prob_neg_label_clumped,total_label_clumped,prob_pos_label_clumped
0,0.0,20230315,1,0,0,0.1936842105263158,475.0,0.8063157894736842,1.0,475.0,0.0,0.9978947368421052,475.0,0.0021052631578948,0.1726315789473684,475.0,0.8273684210526315,0.4231578947368421,475.0,0.5768421052631578
1,0.0,20230404,1,0,2,0.4,465.0,0.6,0.9956989247311828,465.0,0.0043010752688171,1.0,465.0,0.0,0.3612903225806451,465.0,0.6387096774193549,0.6688172043010753,465.0,0.3311827956989247
2,1.0,20230404,1,10,2,0.3098290598290598,468.0,0.6901709401709402,0.997863247863248,468.0,0.002136752136752,1.0,468.0,0.0,0.2799145299145299,468.0,0.7200854700854701,0.6517094017094017,468.0,0.3482905982905983
3,1.0,20230315,1,20,0,0.1774193548387097,434.0,0.8225806451612903,1.0,434.0,0.0,1.0,434.0,0.0,0.1658986175115207,434.0,0.8341013824884793,0.5622119815668203,434.0,0.4377880184331797
4,2.0,20230404,1,20,2,0.3515981735159817,438.0,0.6484018264840183,1.0,438.0,0.0,0.997716894977169,438.0,0.002283105022831,0.2534246575342466,438.0,0.7465753424657534,0.5958904109589042,438.0,0.4041095890410958
5,2.0,20230315,1,40,0,0.4506437768240343,466.0,0.5493562231759657,1.0,466.0,0.0,1.0,466.0,0.0,0.3218884120171674,466.0,0.6781115879828326,0.6394849785407726,466.0,0.3605150214592274
6,3.0,20230404,1,40,2,0.6261467889908257,436.0,0.3738532110091743,1.0,436.0,0.0,1.0,436.0,0.0,0.2522935779816513,436.0,0.7477064220183487,0.7706422018348624,436.0,0.2293577981651375
7,4.0,20230404,1,50,2,0.9537444933920703,454.0,0.0462555066079296,1.0,454.0,0.0,1.0,454.0,0.0,0.5837004405286343,454.0,0.4162995594713656,0.9625550660792952,454.0,0.0374449339207048
8,3.0,20230315,1,60,0,0.4189814814814814,432.0,0.5810185185185186,1.0,432.0,0.0,1.0,432.0,0.0,0.2569444444444444,432.0,0.7430555555555556,0.5439814814814815,432.0,0.4560185185185185
9,5.0,20230404,1,60,2,0.957356076759062,469.0,0.042643923240938,1.0,469.0,0.0,1.0,469.0,0.0,0.5479744136460555,469.0,0.4520255863539445,0.9637526652452024,469.0,0.0362473347547975
10,0.0,20230404,2,65,3,0.9858156028368794,423.0,0.0141843971631205,0.9976359338061466,423.0,0.0023640661938534,1.0,423.0,0.0,0.7021276595744681,423.0,0.2978723404255319,0.9905437352245864,423.0,0.0094562647754136
11,1.0,20230404,2,70,3,0.9907834101382488,434.0,0.0092165898617512,1.0,434.0,0.0,1.0,434.0,0.0,0.5207373271889401,434.0,0.4792626728110599,0.9976958525345622,434.0,0.0023041474654378
12,2.0,20230404,2,75,3,0.9953810623556582,433.0,0.0046189376443418,1.0,433.0,0.0,1.0,433.0,0.0,0.6189376443418014,433.0,0.3810623556581985,0.9861431870669746,433.0,0.0138568129330254
13,4.0,20230315,1,80,0,0.7894736842105263,475.0,0.2105263157894736,0.9978947368421052,475.0,0.0021052631578948,1.0,475.0,0.0,0.5157894736842106,475.0,0.4842105263157894,0.8863157894736842,475.0,0.1136842105263158
14,3.0,20230404,2,80,3,0.9890829694323144,458.0,0.0109170305676855,1.0,458.0,0.0,1.0,458.0,0.0,0.3537117903930131,458.0,0.6462882096069869,0.9890829694323144,458.0,0.0109170305676855
15,5.0,20230315,1,100,0,0.948051948051948,462.0,0.0519480519480519,0.997835497835498,462.0,0.002164502164502,0.997835497835498,462.0,0.002164502164502,0.7186147186147186,462.0,0.2813852813852814,0.9826839826839828,462.0,0.0173160173160171
16,4.0,20230404,2,100,3,1.0,478.0,0.0,0.997907949790795,478.0,0.0020920502092049,1.0,478.0,0.0,0.5669456066945606,478.0,0.4330543933054394,0.997907949790795,478.0,0.0020920502092049
17,0.0,20230315,2,130,1,1.0,476.0,0.0,0.9978991596638656,476.0,0.0021008403361344,1.0,476.0,0.0,0.6869747899159664,476.0,0.3130252100840336,0.9978991596638656,476.0,0.0021008403361344
18,5.0,20230404,2,130,3,1.0,468.0,0.0,1.0,468.0,0.0,1.0,468.0,0.0,0.5512820512820513,468.0,0.4487179487179487,1.0,468.0,0.0
19,1.0,20230315,2,160,1,1.0,465.0,0.0,1.0,465.0,0.0,1.0,465.0,0.0,0.7591397849462366,465.0,0.2408602150537634,0.9978494623655914,465.0,0.0021505376344086
20,2.0,20230315,2,200,1,1.0,437.0,0.0,1.0,437.0,0.0,1.0,437.0,0.0,0.8443935926773455,437.0,0.1556064073226545,1.0,437.0,0.0
21,3.0,20230315,2,250,1,1.0,478.0,0.0,1.0,478.0,0.0,1.0,478.0,0.0,0.9686192468619248,478.0,0.0313807531380752,1.0,478.0,0.0
22,4.0,20230315,2,300,1,1.0,474.0,0.0,1.0,474.0,0.0,1.0,474.0,0.0,0.9746835443037974,474.0,0.0253164556962025,1.0,474.0,0.0
23,5.0,20230315,2,350,1,1.0,465.0,0.0,1.0,465.0,0.0,1.0,465.0,0.0,0.9526881720430108,465.0,0.0473118279569891,1.0,465.0,0.0
