,chip,date,date_index,concentration,dataset,prob_neg_label_positive,total_label_positive,prob_pos_label_positive,prob_neg_label_rods,total_label_rods,prob_pos_label_rods,prob_neg_label_filaments,total_label_filaments,prob_pos_label_filaments,prob_neg_label_planktonic,total_label_planktonic,prob_pos_label_planktonic,prob_neg_label_clumped,total_label_clumped,prob_pos_label_clumped
0,0.0,20221101,1,0.0,0,0.1872246696035242,454.0,0.8127753303964758,0.9911894273127754,454.0,0.0088105726872246,1.0,454.0,0.0,0.1828193832599119,454.0,0.8171806167400881,0.6806167400881057,454.0,0.3193832599118943
1,0.0,20221101,2,0.0,1,0.2554112554112554,462.0,0.7445887445887446,0.9848484848484848,462.0,0.0151515151515152,1.0,462.0,0.0,0.2554112554112554,462.0,0.7445887445887446,0.6623376623376623,462.0,0.3376623376623376
2,0.0,20230110,1,0.0,2,0.1978947368421052,475.0,0.8021052631578948,0.9936842105263158,475.0,0.0063157894736841,1.0,475.0,0.0,0.1978947368421052,475.0,0.8021052631578948,0.3010526315789473,475.0,0.6989473684210528
3,1.0,20221101,1,0.15,0,0.2945544554455445,404.0,0.7054455445544555,0.995049504950495,404.0,0.0049504950495049,1.0,404.0,0.0,0.2846534653465346,404.0,0.7153465346534654,0.7599009900990099,404.0,0.2400990099009901
4,1.0,20221101,2,0.15,1,0.2167042889390519,443.0,0.7832957110609481,1.0,443.0,0.0,1.0,443.0,0.0,0.1851015801354401,443.0,0.8148984198645599,0.672686230248307,443.0,0.327313769751693
5,1.0,20230110,1,0.25,2,0.235042735042735,468.0,0.764957264957265,0.997863247863248,468.0,0.002136752136752,1.0,468.0,0.0,0.2243589743589743,468.0,0.7756410256410257,0.344017094017094,468.0,0.655982905982906
6,2.0,20221101,1,0.5,0,0.4216589861751152,434.0,0.5783410138248848,0.9723502304147466,434.0,0.0276497695852534,1.0,434.0,0.0,0.4147465437788018,434.0,0.5852534562211982,0.8087557603686636,434.0,0.1912442396313364
7,2.0,20221101,2,0.5,1,0.58,450.0,0.42,0.9533333333333334,450.0,0.0466666666666666,1.0,450.0,0.0,0.5377777777777778,450.0,0.4622222222222222,0.8733333333333333,450.0,0.1266666666666667
8,2.0,20230110,1,0.5,2,0.4069264069264069,462.0,0.5930735930735931,0.9913419913419912,462.0,0.0086580086580088,0.997835497835498,462.0,0.002164502164502,0.329004329004329,462.0,0.670995670995671,0.4805194805194805,462.0,0.5194805194805194
9,3.0,20230110,1,0.6,2,0.6568421052631579,475.0,0.3431578947368421,0.96,475.0,0.04,0.9978947368421052,475.0,0.0021052631578948,0.2968421052631579,475.0,0.7031578947368421,0.7094736842105264,475.0,0.2905263157894736
10,4.0,20230110,1,0.65,2,0.6300211416490487,473.0,0.3699788583509513,0.949260042283298,473.0,0.050739957716702,1.0,473.0,0.0,0.1923890063424947,473.0,0.8076109936575053,0.6955602536997886,473.0,0.3044397463002114
11,5.0,20230110,1,0.7,2,0.4955947136563877,454.0,0.5044052863436124,0.8832599118942731,454.0,0.1167400881057268,0.9977973568281938,454.0,0.0022026431718061,0.013215859030837,454.0,0.986784140969163,0.579295154185022,454.0,0.420704845814978
12,3.0,20221101,1,0.75,0,0.99163179916318,478.0,0.0083682008368199,0.99581589958159,478.0,0.0041841004184099,1.0,478.0,0.0,0.803347280334728,478.0,0.1966527196652719,0.98744769874477,478.0,0.0125523012552299
13,3.0,20221101,2,0.75,1,0.9285714285714286,448.0,0.0714285714285714,0.9799107142857144,448.0,0.0200892857142855,1.0,448.0,0.0,0.6941964285714286,448.0,0.3058035714285714,0.9553571428571428,448.0,0.0446428571428572
14,0.0,20230110,2,0.75,3,0.9912663755458516,458.0,0.0087336244541483,0.9956331877729258,458.0,0.0043668122270742,1.0,458.0,0.0,0.5764192139737991,458.0,0.4235807860262008,0.980349344978166,458.0,0.019650655021834
15,1.0,20230110,2,0.8,3,0.9567099567099568,462.0,0.0432900432900431,0.9523809523809524,462.0,0.0476190476190475,1.0,462.0,0.0,0.170995670995671,462.0,0.829004329004329,0.9567099567099568,462.0,0.0432900432900431
16,2.0,20230110,2,0.85,3,0.9957537154989384,471.0,0.0042462845010615,0.989384288747346,471.0,0.010615711252654,1.0,471.0,0.0,0.2420382165605095,471.0,0.7579617834394905,0.970276008492569,471.0,0.0297239915074309
17,3.0,20230110,2,0.9,3,0.9832635983263598,478.0,0.0167364016736402,0.9623430962343096,478.0,0.0376569037656904,1.0,478.0,0.0,0.1694560669456067,478.0,0.8305439330543933,0.9623430962343096,478.0,0.0376569037656904
18,4.0,20230110,2,0.95,3,0.9594882729211088,469.0,0.0405117270788911,0.9509594882729212,469.0,0.0490405117270787,0.9957356076759062,469.0,0.0042643923240938,0.0788912579957356,469.0,0.9211087420042644,0.9402985074626866,469.0,0.0597014925373133
19,4.0,20221101,1,1.0,0,0.9977628635346756,447.0,0.0022371364653244,0.9932885906040269,447.0,0.0067114093959731,1.0,447.0,0.0,0.8680089485458613,447.0,0.1319910514541387,0.9977628635346756,447.0,0.0022371364653244
20,4.0,20221101,2,1.0,1,0.9953051643192488,426.0,0.0046948356807512,0.9976525821596244,426.0,0.0023474178403756,1.0,426.0,0.0,0.8450704225352113,426.0,0.1549295774647887,0.9953051643192488,426.0,0.0046948356807512
21,5.0,20230110,2,1.5,3,0.9731404958677686,484.0,0.0268595041322313,0.9545454545454546,484.0,0.0454545454545454,1.0,484.0,0.0,0.0950413223140495,484.0,0.9049586776859504,0.9607438016528924,484.0,0.0392561983471075
