,chip,code,C,R,F,label,count,probability,date,date_index,dataset,concentration
34,4,2,0,1,0,¬CR¬F,,,20220614,2,1,14
32,4,0,0,0,0,¬C¬R¬F,,,20220614,2,1,14
35,4,3,0,1,1,¬CRF,,,20220614,2,1,14
46,5,6,1,1,0,CR¬F,,,20220614,2,1,20
40,5,0,0,0,0,¬C¬R¬F,,,20220614,2,1,20
41,5,1,0,0,1,¬C¬RF,,,20220614,2,1,20
42,5,2,0,1,0,¬CR¬F,,,20220614,2,1,20
43,5,3,0,1,1,¬CRF,,,20220614,2,1,20
44,5,4,1,0,0,C¬R¬F,,,20220614,2,1,20
45,5,5,1,0,1,C¬RF,,,20220614,2,1,20
47,5,7,1,1,1,CRF,,,20220614,2,1,20
