,train_losses,val_losses,train_acc,val_acc
0,0.616989611773053,0.626071043080689,0.0925,0.078125
1,0.474937786092982,0.463679664068817,0.31125,0.34375
2,0.393946109175042,0.362532462863783,0.43125,0.5
3,0.350217324000376,0.327075757478876,0.5275,0.552083333333333
4,0.309288732612098,0.295233771143467,0.5725,0.6015625
5,0.283493437013836,0.272478092598976,0.60875,0.630208333333333
6,0.254204987676392,0.260850354879282,0.66125,0.625
7,0.239665501865631,0.251366979147861,0.66875,0.645833333333333
8,0.225282616439843,0.240182558830444,0.685,0.630208333333333
9,0.204805630880488,0.234577626513813,0.715,0.630208333333333
10,0.192994126057521,0.230125070855441,0.73875,0.638020833333333
11,0.186863589856664,0.219564638795919,0.73875,0.658854166666667
12,0.175650817806461,0.218335320181071,0.76625,0.669270833333333
13,0.167445363348954,0.215328738647319,0.775,0.682291666666667
14,0.161287688822718,0.215522258312058,0.7775,0.658854166666667
15,0.150258467598484,0.212321062380837,0.7975,0.682291666666667
16,0.133347687920921,0.212805407790256,0.83625,0.684895833333333
17,0.131512872463794,0.211170110431597,0.835,0.677083333333333
18,0.118160422520094,0.21422646351754,0.8675,0.6796875
19,0.115932292110454,0.213298245416566,0.86,0.677083333333333
20,0.110174082345569,0.213824803114676,0.88125,0.661458333333333
21,0.106243011676954,0.215594644143039,0.8825,0.65625
22,0.0979675258890666,0.212138370564768,0.89,0.669270833333333
23,0.0960364066076017,0.217539521854049,0.9025,0.651041666666667
24,0.0883994275048808,0.213333815953107,0.9175,0.6640625
25,0.0795339493753854,0.213687903305163,0.93,0.658854166666667
26,0.0794967227787966,0.215756941343295,0.935,0.677083333333333
27,0.0794553348030913,0.212951378128779,0.93375,0.674479166666667
28,0.0725321211071596,0.209393806983788,0.94375,0.682291666666667
29,0.0665325575959114,0.202278437762387,0.95125,0.682291666666667
30,0.0672026222976783,0.213530371476759,0.9475,0.6796875
31,0.0573155018242294,0.217472811228883,0.95875,0.666666666666667
32,0.0576183776533403,0.216433132402638,0.96,0.6640625
33,0.0557501447985164,0.21535327052909,0.96,0.666666666666667
34,0.0511436260988342,0.214600326084314,0.96625,0.671875
35,0.0481134441457398,0.221030136598775,0.975,0.661458333333333
36,0.0568359640265635,0.224628405706502,0.96375,0.669270833333333
37,0.0454840140325087,0.222201584791431,0.97875,0.658854166666667
38,0.0410153997009002,0.22481024518072,0.98625,0.6640625
39,0.0392098129747219,0.219927023386075,0.985,0.640625
40,0.0406522312546313,0.230923696798895,0.97375,0.627604166666667
41,0.0391343833318961,0.220130862658433,0.97875,0.653645833333333
42,0.0385394523992036,0.220836369426778,0.98,0.6640625
43,0.032971308164585,0.205939902185924,0.99375,0.692708333333333
44,0.0368809341573869,0.23222983452679,0.97625,0.65625
45,0.0349594122244994,0.22906003445342,0.98875,0.658854166666667
46,0.0311977402490013,0.222568813322979,0.99375,0.666666666666667
47,0.0310810368718298,0.218952461165585,0.9875,0.661458333333333
48,0.0286127750053265,0.222378208538953,0.99625,0.669270833333333
49,0.0280712416111942,0.225083618811952,0.995,0.666666666666667
50,0.0284461251613866,0.225617606463023,0.99125,0.6640625
51,0.0299832552306184,0.226209833472433,0.99,0.658854166666667
52,0.0280974244980434,0.232939378192123,0.995,0.653645833333333
53,0.0333976740640292,0.234565801816143,0.985,0.653645833333333
54,0.0253318369312799,0.216985602157274,0.99625,0.671875
55,0.0289639313077714,0.232410779166253,0.98875,0.6484375
56,0.0296737462851462,0.222863533939037,0.9875,0.671875
57,0.0258820326447503,0.227287730052859,0.99875,0.653645833333333
58,0.0285264090935593,0.228793903461856,0.99125,0.6640625
